NETWORK USER,DOMAIN,Password
LONG,STAFF,81T2AU7q0Qc=
GEREMIE,STAFF,DW+eu2ieAHg=
KIMBERLEY,STAFF,DW+eu2ieAHg=
TOM,STAFF,DW+eu2ieAHg=
N1940,STUDENT,DW+eu2ieAHg=
N1000,STUDENT,DW+eu2ieAHg=
N2000,STUDENT,DW+eu2ieAHg=
N3000,STUDENT,DW+eu2ieAHg=
N4000,STUDENT,DW+eu2ieAHg=
N5000,STUDENT,DW+eu2ieAHg=
N6000,STUDENT,DW+eu2ieAHg=
N7000,STUDENT,DW+eu2ieAHg=
N8000,STUDENT,DW+eu2ieAHg=
N9000,STUDENT,DW+eu2ieAHg=
N9900,STUDENT,DW+eu2ieAHg=
N8800,STUDENT,DW+eu2ieAHg=
N7700,STUDENT,DW+eu2ieAHg=
N6600,STUDENT,DW+eu2ieAHg=
N5500,STUDENT,DW+eu2ieAHg=
N6500,STUDENT,DW+eu2ieAHg=
